Gene,pearson
C20orf85,-0.04986
DCAF16,-0.04984
GMPPA,-0.04983
SKP1,-0.04983
IFT88,-0.04982
MRPS5,-0.0498
TANC1,-0.04979
USE1,-0.04979
CLLU1OS,-0.04976
GABRA2,-0.04976
PCDH20,-0.04976
PHF13,-0.04975
MTL5,-0.04971
KRT7,-0.04971
RFNG,-0.04971
WNT5B,-0.04969
CDC42EP5,-0.04968
SMAP1,-0.04967
ARHGAP8,-0.04964
ACTR5,-0.04964
LAD1,-0.04963
RAB40C,-0.04962
SOX12,-0.04961
MPC1,-0.04954
NOL4,-0.04952
DLX4,-0.04952
ZEB1,-0.04951
KIAA0430,-0.0495
CCDC169,-0.0495
JKAMP,-0.04949
IL16,-0.04948
MPO,-0.04946
SERTAD3,-0.04945
ADPRHL2,-0.04944
EIF4G1,-0.04944
RASSF1,-0.04943
MYLK2,-0.04941
STEAP1,-0.04941
ZNF554,-0.04939
NAALADL2,-0.04938
CCND3,-0.04936
PRDX5,-0.04935
CD3D,-0.04932
ZNF780A,-0.04927
AKAP7,-0.04926
C16orf91,-0.04926
SRSF7,-0.04923
CCDC54,-0.04922
AKT2,-0.04921
RND2,-0.04919
IFNA4,-0.04919
MPG,-0.04916
ERGIC1,-0.04913
CLEC4M,-0.04913
GLRX5,-0.04913
SDC4,-0.0491
RBM15B,-0.04909
RFWD3,-0.04905
CCDC17,-0.04904
CSNK1E,-0.04902
DEPTOR,-0.04901
PLEKHA1,-0.04899
C3orf30,-0.04898
PITPNM3,-0.04897
CEACAM7,-0.04897
LIPC,-0.04895
CAMSAP2,-0.04893
CNTRL,-0.04891
GTSF1,-0.0489
ZNF175,-0.04888
SLC7A10,-0.04887
ING1,-0.04879
TRPT1,-0.04878
SUCLG1,-0.04876
PPP3R1,-0.04876
GAS2L3,-0.04874
SETD8,-0.04872
LUZP2,-0.04872
PADI2,-0.04872
USP10,-0.0487
TPGS2,-0.0487
ARL14EPL,-0.0487
TOMM40,-0.04867
ATP5S,-0.04866
PPID,-0.04866
NLRX1,-0.04866
RNASEK,-0.04866
FMNL3,-0.04864
CCT6A,-0.04863
HDHD2,-0.04861
UGT1A5,-0.04858
VRK1,-0.04856
RFK,-0.04852
AFP,-0.04851
LRRC4B,-0.0485
SORCS1,-0.0485
TMBIM6,-0.04849
C6orf118,-0.04845
TAS2R43,-0.04844
DENND1C,-0.04843
NRXN2,-0.04843
ZNF560,-0.04843
UST,-0.0484
STK17A,-0.04838
PROC,-0.04835
SETD4,-0.04834
BBS2,-0.04832
CCT3,-0.04832
CLIC1,-0.04831
MINOS1,-0.04829
TOLLIP,-0.04828
PRIMPOL,-0.04828
TOMM20,-0.04825
ABCF2,-0.04825
TMEM119,-0.04824
MAN2A1,-0.0482
RNF182,-0.04819
ABHD4,-0.04818
C1QL2,-0.04817
SRSF4,-0.04815
C12orf57,-0.04807
AP5M1,-0.04802
MATN4,-0.04799
SEPN1,-0.04798
ZSCAN22,-0.04797
GDF3,-0.04792
SCT,-0.04791
JAK2,-0.04791
TMEM194A,-0.0479
TOM1L1,-0.0479
CYP2C9,-0.04789
SLC25A4,-0.04789
CHD9,-0.04786
KCTD8,-0.04783
TATDN3,-0.04782
HRK,-0.0478
BCL2L12,-0.0478
LCE3A,-0.04776
C5,-0.04775
CENPL,-0.04773
SMAP2,-0.04771
ATRAID,-0.04771
ITGA2,-0.0477
ADAMTS2,-0.04767
PPP1R15A,-0.04767
FAM53B,-0.04766
PCDHB3,-0.04766
TNK1,-0.04764
POLR3GL,-0.04764
RNF222,-0.04764
BMP4,-0.04761
C9orf78,-0.04759
DYNC2LI1,-0.04757
HARS2,-0.04756
VAPA,-0.04754
PNPLA8,-0.0475
LTF,-0.0475
FOXRED1,-0.04747
CLDN9,-0.04747
TMCC1,-0.04746
DCLK2,-0.04746
INTS6,-0.04746
AKNAD1,-0.04745
ATP1A1,-0.04744
PEA15,-0.04744
MS4A5,-0.04741
ERF,-0.04738
PYROXD2,-0.04738
PDE6G,-0.04736
ELL,-0.04733
RBFOX2,-0.04732
BTNL8,-0.0473
FASN,-0.0473
IFT46,-0.04727
PCP2,-0.04726
AIF1,-0.04724
PRMT7,-0.04722
ALPL,-0.04718
FAM188B,-0.04717
MED24,-0.04716
RRAD,-0.04716
MYO9B,-0.04714
PHYHD1,-0.04712
MARCH9,-0.0471
TK1,-0.0471
FAP,-0.04708
KIAA1217,-0.04707
ZNF548,-0.04707
GPR180,-0.04706
CDC27,-0.04706
RABL6,-0.04705
BLVRB,-0.04704
CAT,-0.04702
KIAA1551,-0.04702
RBAK,-0.04698
ZBTB5,-0.04692
DNAJC14,-0.0469
PLA2G15,-0.04689
SRM,-0.04689
PTGER4,-0.04685
PI4K2B,-0.04682
WFDC6,-0.04682
CYP4F2,-0.04677
AJAP1,-0.04676
MS4A6E,-0.04672
ZNF267,-0.04671
FXYD3,-0.0467
MAGI2,-0.04669
PPP2CA,-0.04666
METTL11B,-0.04663
DPP10,-0.04663
OCIAD2,-0.04663
EPN1,-0.04659
SNF8,-0.04659
MB,-0.04656
PET100,-0.04656
IFITM10,-0.04654
HIST1H3J,-0.04654
EPHB1,-0.04653
ZNF354C,-0.04652
ABHD2,-0.04652
ZNF154,-0.04648
G0S2,-0.04648
RET,-0.04648
ALDH4A1,-0.04647
TBC1D5,-0.04645
FDX1,-0.04641
DHX30,-0.04639
ARRB2,-0.04637
KRT222,-0.04636
MAP4K2,-0.04635
VWC2L,-0.04634
ARMC6,-0.04634
SPTY2D1,-0.0463
SLC25A36,-0.0463
PNMAL1,-0.04629
CD52,-0.04629
DIDO1,-0.04627
HIPK4,-0.04627
RCOR3,-0.04627
SIK3,-0.04625
DOCK10,-0.04625
PSMA8,-0.04625
RABIF,-0.04624
C17orf70,-0.0462
TNFRSF10C,-0.04619
HMSD,-0.04619
ZNF774,-0.04618
DCLK1,-0.04615
MGARP,-0.04615
HIST1H2AC,-0.04612
LSM14A,-0.04609
ANO8,-0.04608
RAB28,-0.04607
MRPL49,-0.04605
RGS7,-0.04604
PRELID2,-0.04603
SERPINI2,-0.04603
NOP14,-0.04601
ZNF568,-0.04599
ZNF98,-0.04599
SERPINH1,-0.04597
LEKR1,-0.04597
CCDC172,-0.04595
C10orf54,-0.04594
RAG2,-0.04593
DLD,-0.04593
NXPE1,-0.04593
PPT2,-0.04592
ITGB1BP1,-0.0459
SP2,-0.04589
ZNF507,-0.04589
NFATC1,-0.04588
KRTAP11-1,-0.04587
RPN1,-0.04585
UPK3A,-0.04583
SYCE1,-0.04581
USB1,-0.04579
PRB1,-0.04578
ACSM2A,-0.04576
CYP4X1,-0.04573
USP40,-0.04573
VPS26A,-0.04572
IMMP2L,-0.0457
TUBB2A,-0.0457
GLTSCR1,-0.04568
TMEM238,-0.04564
APOBEC1,-0.04561
PIK3IP1,-0.04561
COX5B,-0.04559
PEX7,-0.04557
GRPEL2,-0.04554
KRT82,-0.04553
ADAMTS17,-0.04552
AGAP1,-0.04552
IFIT1B,-0.04548
MACROD2,-0.04547
EVX1,-0.04547
BEST1,-0.04547
CD244,-0.04546
TEX37,-0.04545
ADIPOQ,-0.04544
WDR60,-0.04544
CCDC176,-0.04543
PEF1,-0.04543
RNASE6,-0.04542
NPTX2,-0.04539
BEND5,-0.04533
EPB41,-0.0453
TMEM128,-0.04529
CDX1,-0.04522
POLD4,-0.04522
IFRD1,-0.0452
LYRM7,-0.04519
CHSY1,-0.04515
HRG,-0.04514
GNAI1,-0.04514
N4BP2L2,-0.04512
COL5A3,-0.04512
ZNF341,-0.0451
MLLT11,-0.04508
MYH13,-0.04501
DIXDC1,-0.04501
GNG5,-0.04498
BAIAP3,-0.04498
EFCAB13,-0.04498
ZFAND3,-0.04497
TSC22D4,-0.04497
TMEM198,-0.04496
SHB,-0.04495
LGALS13,-0.04495
PDIA4,-0.04495
BAIAP2,-0.04494
ARHGEF16,-0.04493
HOMER2,-0.0449
PDE6C,-0.04488
GTF3A,-0.04486
MRPL50,-0.04486
RPS29,-0.04484
IL23A,-0.04483
EPCAM,-0.04482
GAS2,-0.04482
CGNL1,-0.04481
PGBD1,-0.0448
EVC2,-0.04479
PDHA2,-0.04478
NUTF2,-0.04477
ZNF582,-0.04475
ELAVL3,-0.04463
TCN1,-0.04463
RAB2A,-0.04463
CDH23,-0.04462
PDP2,-0.0446
ADM2,-0.04458
RGL3,-0.04458
DAPK3,-0.04458
MAPK11,-0.04457
PCBP1,-0.04457
ZSCAN9,-0.04456
SAP30L,-0.04455
KIAA0513,-0.04455
SST,-0.04454
ATG5,-0.04454
TXLNA,-0.04451
PPDPF,-0.04451
KIAA1919,-0.04451
DNTTIP2,-0.04449
KRTAP9-3,-0.04449
TRIM36,-0.04448
SLC25A23,-0.04445
KLHL24,-0.04445
CLP1,-0.04444
EPHX1,-0.04442
LMLN,-0.0444
TMCO2,-0.04438
MEP1B,-0.04438
TRPC6,-0.04438
FAM193A,-0.04437
ANKRD53,-0.04437
PRRC2C,-0.04436
CSH2,-0.04436
UBXN1,-0.04435
CNKSR3,-0.04433
PRDM16,-0.04432
DPPA4,-0.04432
ACAT1,-0.04432
OSBPL5,-0.04431
RIN2,-0.04431
CENPU,-0.04429
LRRC40,-0.04428
ZNF107,-0.04427
OGDH,-0.04426
GPANK1,-0.04426
ECE1,-0.04425
ATP10D,-0.04424
MKLN1,-0.04423
ZBTB8B,-0.04422
MDFIC,-0.04421
BZW2,-0.04421
DGAT1,-0.04421
PCK1,-0.0442
HIST1H3G,-0.04419
RFXAP,-0.04419
CDO1,-0.04412
SLC35B3,-0.04412
RASL10B,-0.04411
NNAT,-0.0441
KLRC2,-0.04409
TAX1BP1,-0.04408
PKD2L2,-0.04407
HSPA12A,-0.04405
APOL6,-0.04404
LSM11,-0.04403
NEU1,-0.04403
ATF7,-0.04402
ZNF423,-0.04402
ZNF43,-0.04399
LIMS1,-0.04399
C18orf8,-0.04399
CDCA7L,-0.04398
ANAPC13,-0.04395
FAM49A,-0.04394
SFRP4,-0.04394
ZNF354A,-0.04392
EMC1,-0.04389
BBS7,-0.04387
CLRN3,-0.04387
FAM26E,-0.04386
ATN1,-0.04379
SEC24D,-0.04379
NRIP3,-0.04377
DLEU7,-0.04376
NDUFAF2,-0.04376
YTHDC2,-0.04375
WFDC11,-0.04372
BATF2,-0.04372
FREM2,-0.04371
MTNR1B,-0.04368
ARHGEF25,-0.04366
TOMM40L,-0.04365
GPATCH4,-0.04365
SASH1,-0.04363
VAX2,-0.04363
CDC23,-0.04363
GJB2,-0.04362
GLRX2,-0.04362
GINS1,-0.04361
ZNF680,-0.04361
BPIFC,-0.04361
ANTXR1,-0.04359
NDUFA7,-0.04355
ANXA2R,-0.04354
SLC17A3,-0.04351
NAP1L1,-0.04349
ANKDD1A,-0.04349
TAPT1,-0.04346
CNRIP1,-0.04344
DSCR3,-0.04344
ACACB,-0.04343
RILPL2,-0.04342
PRSS36,-0.04342
ZBTB45,-0.04341
EMX2,-0.04339
SMTNL2,-0.04338
NDUFS4,-0.04336
ZNF470,-0.04335
KRT75,-0.04334
LFNG,-0.04334
UNC50,-0.04333
CCT4,-0.04333
ANKS1A,-0.04332
TPRN,-0.04332
ZNF653,-0.0433
XPO4,-0.04329
NPAS2,-0.04329
FNBP1,-0.04328
SYCP2L,-0.04325
RCN2,-0.04324
GGA2,-0.04324
LEF1,-0.04323
RHEB,-0.04322
MYLIP,-0.0432
ULBP1,-0.0432
LHFPL5,-0.04317
ADAMTS12,-0.04316
CACUL1,-0.04316
TEDDM1,-0.04316
FAM209B,-0.04314
METTL5,-0.04314
FAM65A,-0.04312
SPATA32,-0.04308
CFHR2,-0.04308
KIF5B,-0.04307
ARMC1,-0.04305
ETV7,-0.04304
CMA1,-0.04303
C7orf62,-0.04303
ZNF791,-0.04301
GATSL3,-0.04301
KRT33A,-0.04299
HERC5,-0.04299
PRAC1,-0.04296
DZIP1,-0.04296
TNFRSF1B,-0.04295
FYB,-0.04294
AP3D1,-0.04294
MEP1A,-0.04292
LMAN2L,-0.04291
ZNF124,-0.0429
FAM21C,-0.04288
WHSC1L1,-0.04288
TIMM10B,-0.04288
FAM181A,-0.04286
TREM1,-0.04285
NOG,-0.04284
COMMD7,-0.04282
TCP1,-0.04281
RXRB,-0.04278
SYT4,-0.04278
APOBEC3B,-0.04277
SPOCK3,-0.04273
U2AF1,-0.0427
MYL5,-0.04268
NAA50,-0.04265
STAC2,-0.04262
MAST2,-0.0426
TFRC,-0.0426
SS18L1,-0.04257
MRM1,-0.04257
MAPK9,-0.04256
GIP,-0.04256
PHYHIP,-0.04256
ANKRD66,-0.04254
SLCO3A1,-0.04252
NAA60,-0.04251
FPR3,-0.04247
ZNF618,-0.04246
PRR23B,-0.04245
ZNF787,-0.04245
GDPGP1,-0.04243
SAMD5,-0.04242
LHFPL2,-0.04241
PTBP2,-0.04241
GHDC,-0.04239
UCHL3,-0.04238
MKNK1,-0.04236
DYNC2H1,-0.04235
CAMKV,-0.04235
BAIAP2L1,-0.04235
NOX5,-0.04233
VMO1,-0.04233
C17orf51,-0.04232
PATL1,-0.0423
NPSR1,-0.04228
LAMB2,-0.04227
ZNF268,-0.04226
MRPS10,-0.04226
ATRNL1,-0.04225
MUC21,-0.04221
MYLK4,-0.04221
SPATA6,-0.04219
PBX1,-0.04217
RIC8B,-0.04216
LPIN3,-0.04214
ZNF467,-0.04213
FBXL16,-0.04211
GMFB,-0.0421
C18orf63,-0.04209
HNRNPR,-0.04209
TMED3,-0.04209
OAS1,-0.04208
ULK1,-0.04208
KEL,-0.04205
IQCF6,-0.04204
CAP1,-0.04201
DHRS12,-0.04201
MARK1,-0.04199
SERPINC1,-0.04198
PEMT,-0.04197
AOC2,-0.04196
TROVE2,-0.04191
STX12,-0.04189
CSRNP1,-0.04189
TGFB3,-0.04189
ABL2,-0.04187
HIGD1B,-0.04187
MYBL1,-0.04187
DUS2,-0.04186
HTR4,-0.04184
IFI6,-0.04182
TPGS1,-0.0418
THSD7A,-0.04179
GPN1,-0.04178
ERI1,-0.04178
FZD4,-0.04176
PMPCB,-0.04174
PPP1R17,-0.04172
CD27,-0.04172
AFM,-0.0417
C16orf52,-0.04169
SDHAF1,-0.04167
ADRA2C,-0.04164
TMPRSS11F,-0.0416
C4BPB,-0.04159
IQCF5,-0.04158
SNX6,-0.04158
HHLA3,-0.04157
NEDD4L,-0.04157
SENP1,-0.04155
LHX9,-0.04153
CACNA2D1,-0.04152
ADAMTS19,-0.04151
CPN1,-0.0415
PNKD,-0.04149
SERPINB4,-0.04148
VWA9,-0.04147
UBE2V1,-0.04146
TGM4,-0.04145
ZNF99,-0.04144
BTAF1,-0.04144
ANKRD37,-0.04144
EFCAB6,-0.04144
C10orf71,-0.04143
CCNC,-0.04143
NADK2,-0.04142
ACSL5,-0.04142
GINM1,-0.04141
ACP2,-0.04141
TRIM73,-0.04139
C4BPA,-0.04139
HSPBAP1,-0.04137
CD8B,-0.04136
TRA2A,-0.04133
LRP3,-0.04132
MLH1,-0.04131
B4GALT4,-0.04127
POSTN,-0.04127
MED12L,-0.04125
RNF144B,-0.04125
CLDN20,-0.04123
PTPRS,-0.04123
SIGLEC9,-0.0412
NXNL1,-0.04116
SLCO4A1,-0.04116
YJEFN3,-0.04115
RFX6,-0.04115
CABP1,-0.04115
VPS35,-0.04115
FAM228A,-0.04114
DHX9,-0.04114
ST8SIA3,-0.04114
ORAOV1,-0.04114
ERI2,-0.04112
STX7,-0.04111
RNF217,-0.0411
PVRL3,-0.04107
GLIPR1L2,-0.04107
C6orf10,-0.04106
CCDC175,-0.04105
PACRG,-0.04103
SNX24,-0.04103
SLC6A3,-0.04101
ACYP2,-0.04099
DCUN1D4,-0.04098
ZNF644,-0.04098
FKBP15,-0.04098
DLGAP1,-0.04098
KCNA7,-0.04098
CASC10,-0.04096
CRYAB,-0.04096
STEAP3,-0.04096
SRL,-0.04094
U2AF1L4,-0.04093
TNFAIP6,-0.04092
GPR37,-0.0409
ANGPTL5,-0.04089
SLC9A3R2,-0.04088
CCND2,-0.04087
ANKRD6,-0.04085
BCL6B,-0.04084
TAAR8,-0.04083
HIST1H3D,-0.04083
CTSG,-0.04082
NDNF,-0.04081
SRRT,-0.04081
CCDC88B,-0.04081
STAT4,-0.04078
RBM11,-0.04075
C2,-0.0407
GNPTAB,-0.04069
FOXI2,-0.04068
COL4A3,-0.04063
TMOD3,-0.04063
ZNF608,-0.04062
UNC13B,-0.04061
KTI12,-0.04054
TRPM4,-0.04054
MIF,-0.04052
C15orf40,-0.04051
HNRNPD,-0.0405
CYB5D1,-0.04049
OPA1,-0.04044
TRIM16,-0.04043
BBOX1,-0.04042
CARD8,-0.04042
CSGALNACT2,-0.04042
INHBB,-0.04041
CTTNBP2,-0.04037
OMA1,-0.04035
PEX13,-0.04035
BRD8,-0.04034
LDLR,-0.04034
NEB,-0.04031
GPR63,-0.04031
SUB1,-0.0403
EML3,-0.04029
TMEM207,-0.04027
NADK,-0.04025
HLA-DQA2,-0.04024
SRSF1,-0.04021
FJX1,-0.0402
ACBD4,-0.04019
ACAT2,-0.04016
UNC5D,-0.04016
GSTK1,-0.04015
ETFA,-0.04012
FBXO46,-0.04012
CLDN12,-0.0401
B4GALT3,-0.04008
SCPEP1,-0.04007
TAS2R30,-0.04006
DYNC1LI1,-0.04006
HRH3,-0.04005
UQCRB,-0.04005
TLCD1,-0.04004
FAM174A,-0.04003
HCAR1,-0.03999
TRAPPC13,-0.03998
CLEC4E,-0.03997
RELN,-0.03996
FAM161A,-0.03993
AXIN2,-0.03992
BRSK1,-0.0399
PRH2,-0.0399
CTXN2,-0.03987
FAM216A,-0.03987
SPESP1,-0.03987
NHLRC4,-0.03986
USP46,-0.03985
RAB5B,-0.03985
FBXO33,-0.03983
KIAA0226L,-0.03982
ATP8B1,-0.0398
ACAP1,-0.03979
UBE2E3,-0.03979
BBS12,-0.03978
PTGDR2,-0.03978
CHST10,-0.03975
SLC6A20,-0.03974
GNGT1,-0.03973
LLGL2,-0.03973
ANGPTL3,-0.03972
SHMT2,-0.03971
APPL1,-0.0397
NUBPL,-0.0397
UBE2G2,-0.03968
DALRD3,-0.03967
HRASLS,-0.03967
ZSCAN18,-0.03966
MYO9A,-0.03966
ELAC2,-0.03965
SGMS2,-0.03962
PIGQ,-0.03962
ACP5,-0.03961
NSUN2,-0.03961
GGA1,-0.0396
RIMKLB,-0.03957
GSTM2,-0.03957
GUCA2A,-0.03955
ADD3,-0.03955
IGFBP5,-0.03953
AARS,-0.03951
SEMG1,-0.03951
CENPN,-0.03945
TYRO3,-0.03945
ERMARD,-0.03944
ZC3HAV1L,-0.03943
RNF208,-0.0394
METTL3,-0.0394
TH,-0.03937
DPEP3,-0.03935
RIMS4,-0.03934
GEMIN5,-0.03933
PLEKHA3,-0.03931
STK32A,-0.03931
GZF1,-0.03929
PRCP,-0.03929
CYP3A4,-0.03929
KCTD5,-0.03928
TALDO1,-0.03927
GJA4,-0.03925
CSGALNACT1,-0.03925
CD4,-0.03925
DDAH1,-0.03925
PRIM1,-0.03924
PRDM15,-0.03921
TSPAN5,-0.03919
DSC3,-0.03919
DGAT2,-0.03919
ACOT4,-0.03918
FASTKD2,-0.03915
SLA,-0.03913
FUT10,-0.03912
CACNG7,-0.03909
TNFSF15,-0.03909
APBA2,-0.03909
CNOT11,-0.03908
CX3CL1,-0.03908
STOX2,-0.03908
ELOVL5,-0.03907
TRIM5,-0.03906
NT5E,-0.03905
TNFRSF10A,-0.03905
TINAG,-0.03904
CLDN22,-0.03904
SLC24A5,-0.03903
HYAL3,-0.03901
NAPG,-0.03899
GAN,-0.03896
CLUAP1,-0.03896
TRAPPC1,-0.03896
SPEM1,-0.03895
RNF168,-0.03891
FAM47E-STBD1,-0.0389
SH2D4A,-0.0389
LRP12,-0.03889
SEPP1,-0.03888
SPATA31A6,-0.03886
RRAS,-0.03884
FMO3,-0.03883
AKAP8,-0.03883
CRYGA,-0.03882
PNLIPRP3,-0.03882
ZNF429,-0.03881
UCHL1,-0.0388
DGKA,-0.0388
OAS3,-0.0388
AMN1,-0.03878
MEDAG,-0.03874
CCDC167,-0.03873
SLC8A3,-0.03871
CCDC68,-0.03871
CARTPT,-0.03871
UBE2T,-0.03871
PDE9A,-0.03871
PBOV1,-0.0387
LEFTY2,-0.0387
LSM12,-0.0387
CERS2,-0.03869
HYI,-0.03868
SLC18A1,-0.03867
PDGFC,-0.03863
F5,-0.03863
MRPS36,-0.03863
SNRNP48,-0.03862
GTPBP1,-0.03862
FADS2,-0.03861
HDAC3,-0.03861
PFN4,-0.0386
CPOX,-0.0386
VAMP5,-0.03859
TMEM30A,-0.03858
GPD1,-0.03856
KRTAP9-9,-0.03855
KIAA0895L,-0.03855
EDEM1,-0.03851
DRGX,-0.03849
FAM120B,-0.03849
LRP1,-0.03849
EMX1,-0.03847
VPS53,-0.03847
C6orf58,-0.03842
SHPRH,-0.03839
ATP5J,-0.03839
PRPF40B,-0.03837
GTF2H5,-0.03837
PTPN22,-0.03835
GRTP1,-0.03835
NEURL4,-0.03835
DHCR7,-0.03835
C8orf86,-0.03834
ZNF135,-0.03834
TIFA,-0.03834
NDNL2,-0.03831
OSBPL2,-0.0383
TAAR2,-0.03829
WDR73,-0.03828
DHRS7,-0.03828
SAR1A,-0.03827
CLU,-0.03827
NCKIPSD,-0.03826
TNNC2,-0.03825
SCIN,-0.03824
EIF3D,-0.03823
C6orf226,-0.03821
FAM114A1,-0.03818
C15orf27,-0.03816
DNASE2B,-0.03815
SFMBT2,-0.03815
CALB1,-0.03814
POLDIP3,-0.03814
TIMELESS,-0.03812
C2orf42,-0.03811
SLC22A8,-0.03809
TARBP2,-0.03807
PFKFB2,-0.03807
FAM166B,-0.03807
MGST1,-0.03806
DNAJC9,-0.03805
CNTNAP4,-0.03802
C2orf72,-0.038
SLC35F1,-0.03799
MAML3,-0.03798
PTGS2,-0.03797
FOXN4,-0.03795
PDHB,-0.03795
ADH1A,-0.03793
ZNF611,-0.03792
SMPDL3A,-0.03792
PTGS1,-0.03792
KRTAP20-1,-0.03788
ACTG1,-0.03788
PABPC3,-0.03784
TMC5,-0.03783
CHCHD10,-0.03783
WISP3,-0.03779
UNG,-0.03776
LENG8,-0.03776
COL25A1,-0.03776
NSMAF,-0.03776
CRYBA1,-0.03771
MRPS11,-0.03769
PARK2,-0.03769
SLIT1,-0.03764
ITPRIP,-0.03761
RAC2,-0.03761
PLA2G4C,-0.03761
GPC5,-0.0376
CMBL,-0.03758
BCL2L10,-0.03756
GRN,-0.03756
CMTM4,-0.03755
ZFP2,-0.03753
HLA-DPA1,-0.03752
ARL8B,-0.0375
TXNDC9,-0.03749
DNAJC27,-0.03748
PRR13,-0.03746
IDO1,-0.03746
EED,-0.03745
PRPF38B,-0.03743
SDHC,-0.03743
UTS2B,-0.03742
FLYWCH1,-0.03742
TPRG1L,-0.03741
ZSCAN10,-0.0374
ZBTB37,-0.03739
LTB,-0.03739
NUDT17,-0.03736
ENPP2,-0.03732
LURAP1L,-0.0373
STT3A,-0.03729
BDKRB1,-0.03728
PLAG1,-0.03727
KXD1,-0.03726
PRNP,-0.03725
ATG12,-0.03724
RNF144A,-0.03724
DSEL,-0.03723
KCNJ12,-0.03721
NOD2,-0.03721
CDCP1,-0.03721
ADM,-0.03719
NDUFS2,-0.03718
GOT1,-0.03718
C10orf126,-0.03717
HOPX,-0.03717
ETV6,-0.03716
UBE2L6,-0.03713
ENKD1,-0.0371
SYCP3,-0.0371
SGTA,-0.03709
MTR,-0.03706
TMEM9B,-0.03706
ZNF768,-0.03705
TOB1,-0.03703
DNMT3B,-0.03702
SUPT3H,-0.037
TULP4,-0.037
LRRC47,-0.03696
FBRSL1,-0.03696
ZNF584,-0.03695
KLRF1,-0.03694
IFNA1,-0.03693
CCDC91,-0.03693
ASPHD2,-0.03692
CMAS,-0.03692
CASP5,-0.0369
CD200,-0.03689
PLEKHF2,-0.03689
FOXF2,-0.03688
MLNR,-0.03686
CXCL13,-0.03684
PRKACB,-0.03682
GCKR,-0.0368
NFATC4,-0.03679
COQ5,-0.03679
SLC35D2,-0.03678
TAS2R31,-0.03677
C3orf38,-0.03677
HAS1,-0.03676
SLC35F2,-0.03675
SEC61A2,-0.03674
TTLL4,-0.03673
KLHL2,-0.03673
SYT13,-0.03672
CDC42SE1,-0.03671
FLRT1,-0.03671
COPS7B,-0.0367
REG1A,-0.03669
CEACAM6,-0.03667
C16orf45,-0.03666
FAM219B,-0.03666
FLYWCH2,-0.03665
ZNF225,-0.03663
DDI1,-0.0366
GSKIP,-0.03654
KRTAP13-2,-0.03649
ANTXR2,-0.03648
ZCWPW2,-0.03646
DYNLT1,-0.03646
PLEKHO1,-0.03644
ADCY7,-0.03644
KPNA1,-0.03643
FAM102A,-0.03643
ARL1,-0.03642
KRTAP1-5,-0.03642
GML,-0.03641
TLE2,-0.03641
ZCCHC11,-0.03636
CCDC178,-0.03635
C3orf62,-0.03631
VPS13C,-0.03627
RAB32,-0.03627
GLB1L2,-0.03625
HLA-DQB1,-0.03623
SYTL1,-0.03623
KRTAP12-4,-0.0362
DEPDC4,-0.03618
LPCAT1,-0.03618
FBXO22,-0.03616
FSD1L,-0.03616
MSH4,-0.03616
FAM20A,-0.03615
RWDD2A,-0.03614
CCDC122,-0.03614
CUL2,-0.03614
TRIQK,-0.03613
HSP90AB1,-0.03613
BCAS2,-0.03613
ATP13A4,-0.03612
GCNT4,-0.0361
GGCT,-0.03609
FPGT-TNNI3K,-0.03608
KRIT1,-0.03608
MYL12A,-0.03606
SFT2D1,-0.03606
FGA,-0.03605
EPN3,-0.03604
MINPP1,-0.03603
CD300A,-0.036
MAST3,-0.03599
GDA,-0.03599
C5orf15,-0.03598
SLITRK1,-0.03598
MS4A12,-0.03597
ATP6V1A,-0.03593
RPL37,-0.03591
CASR,-0.0359
NUDCD1,-0.03589
ZNF474,-0.03588
GDPD1,-0.03587
RIMS1,-0.03585
COL3A1,-0.03585
CDKN1B,-0.03585
LILRA5,-0.03585
ADARB2,-0.03584
SULT1A1,-0.03583
GART,-0.03583
CYP27C1,-0.03581
CNGA1,-0.0358
DPM1,-0.0358
HSD17B13,-0.03579
NRAS,-0.03579
MGLL,-0.03578
PLCG1,-0.03577
THEM4,-0.03577
ZNF195,-0.03575
MCC,-0.03573
IL17RA,-0.03573
CTNNA1,-0.03572
DRD3,-0.03571
KANK2,-0.0357
C10orf113,-0.03569
PCDHA2,-0.03567
PIFO,-0.03566
ZNF200,-0.03563
TRMT1,-0.03562
C12orf43,-0.03562
THY1,-0.03557
TMEM168,-0.03557
WDR81,-0.03555
BMP6,-0.03555
ODF2L,-0.03555
TPRA1,-0.03554
ZNF300,-0.0355
ZNF367,-0.03548
SCARA3,-0.03545
CCDC9,-0.03545
INPP4B,-0.03543
OXCT2,-0.03542
NPY4R,-0.03541
HIGD2A,-0.03539
RWDD2B,-0.03537
ELMO3,-0.03536
MMP8,-0.03535
TMEM150C,-0.03534
EPG5,-0.03532
PCDHA9,-0.03532
GSTO2,-0.0353
JMJD1C,-0.03526
LAMA4,-0.03526
LAIR2,-0.03525
ZNF490,-0.03525
THNSL2,-0.03523
CLIC4,-0.03522
GMPR2,-0.03522
IL12A,-0.03522
ATMIN,-0.03521
YTHDF1,-0.0352
DDX4,-0.03519
TXNL4A,-0.03519
UBP1,-0.03519
GRIN2B,-0.03514
GPR17,-0.03512
CDHR2,-0.03512
DXO,-0.03509
LEFTY1,-0.03509
GDNF,-0.03507
IQCF3,-0.03505
TXNRD2,-0.03501
SLFN12,-0.03498
ST3GAL2,-0.03498
DDX55,-0.03495
BICD1,-0.03494
FCAR,-0.03494
VWA7,-0.03491
COMMD2,-0.03487
FKBP4,-0.03487
