Gene,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
SRFBP1,8.71855,2.30873,0.18182,-0.96127,0.03812,-0.83882,-0.21357,0.58091,0.1189,-0.21577
TTL,-2.90147,-0.24395,0.94904,0.13702,0.29655,0.00054,-0.50915,0.43244,0.52575,0.00483
DYNC1H1,19.86257,2.58377,0.4722,1.5255,-0.53014,0.36995,0.77784,-0.13739,0.12302,-0.23824
LDB1,1.88157,0.8775,-1.2666,-0.7887,0.66779,1.81496,-0.92192,0.07189,0.12249,-1.57474
UGT2B17,-1.8583,-0.87998,0.87093,-0.26305,-0.87064,0.04135,0.48062,0.18872,0.0391,0.02948
RBM6,0.30431,-0.37055,-0.73819,-0.22534,0.56163,-0.49445,-0.16668,-0.06673,-0.15034,-0.17102
STK3,2.78272,-0.92427,-0.08092,0.89737,1.04852,0.15966,-0.93805,0.45166,0.44945,-0.03512
SUB1,0.78463,-0.29817,1.4914,-0.49627,-1.34077,0.77557,0.32931,-0.70859,0.12722,-0.47144
MANEAL,-2.56259,-0.47426,-0.45631,0.10222,-0.33872,0.11398,-0.14916,0.05046,0.28604,0.26168
PAQR4,-0.42221,0.05065,0.02863,0.08844,-0.18151,-0.46742,0.06974,0.17059,0.27427,0.25974
TSC1,-3.57334,-0.38878,-0.04376,0.23877,1.01768,0.95113,0.5806,-1.14446,0.53732,0.56847
COX7A2L,-3.04917,0.11646,0.88921,0.25426,-0.0421,-0.05241,-0.07114,-0.15209,0.15346,-0.08865
SEL1L2,-2.68615,-0.39741,0.07471,-0.0945,0.43581,-0.25044,0.07102,0.04,-0.02021,-0.09248
NTM,-2.19158,0.32166,-0.21817,0.25358,0.52714,-0.16858,-0.0361,-0.17746,0.06052,-0.18593
MFSD6,-1.57832,-0.12153,-1.10364,-0.13065,-0.14576,-0.07137,-0.06056,0.0273,-0.20457,-0.01423
SH3BP5,-4.8834,0.39634,0.62426,0.23722,-0.27616,0.2931,0.02615,0.15848,0.09067,0.08488
MEFV,-3.57441,0.04699,0.04849,0.04838,0.06115,-0.14137,0.0262,-0.01644,0.04616,-0.16104
S100A9,-2.6269,-0.25162,2.50202,0.39909,0.16531,-0.10155,-0.2449,0.05447,0.0715,0.32879
HMGN4,-1.44426,-1.40139,0.73113,-0.70091,0.14093,-0.23513,-0.29875,-0.21534,-0.54475,-0.47744
IFI27,-3.65253,-0.41255,0.73362,-0.3014,0.10307,-0.27264,-0.06142,-0.05428,-0.19802,0.05388
ADAM7,-0.93999,0.18831,-0.15533,0.26682,-0.17149,0.06725,0.22134,-0.05426,0.16098,-0.11252
EPHB1,-3.46495,0.2669,0.07392,0.11667,0.12375,-0.05265,-0.12199,-0.02056,-0.13486,0.04773
KIAA1715,-2.84823,-0.18069,0.00324,-0.32214,-0.22164,0.05625,0.13664,-0.09554,-0.00316,0.16592
ORMDL2,-0.40637,-0.78111,-1.21851,-0.18732,-0.08452,-0.01085,0.05898,0.1334,-0.00142,0.13885
HEATR5B,0.90355,0.02247,-0.93015,0.22888,-0.47836,0.33311,0.05011,-0.11212,0.05008,0.15697
TMEM144,-1.75817,-0.69558,0.67056,-0.02084,0.41928,-0.22395,-0.08035,0.2425,0.02895,-0.11446
FABP3,-2.44001,-0.71715,1.06929,-0.37513,-0.22654,-0.0327,0.01002,0.13493,-0.04852,-0.00512
ALG14,9.25702,1.96907,-0.36451,-1.7029,-0.56727,-1.88329,-0.34121,-0.75317,-0.29822,0.00724
ZGLP1,-4.10426,-0.05023,0.35753,-0.11794,0.38999,-0.01106,-0.40184,-0.4786,-0.0818,-0.06481
EYS,-2.74635,-0.53908,2.08676,0.01455,0.01375,0.08094,-0.03489,-0.10578,0.33823,-0.14501
CLDN23,-3.42579,0.35318,-0.68537,0.25181,-0.37175,-0.08535,0.37454,0.18997,0.13768,0.07969
C15orf62,-4.09781,-0.36055,0.10682,0.29909,-0.21732,0.08642,-0.20969,0.20696,-0.03481,0.36272
RCOR1,2.58501,0.40921,3.51888,0.91177,-0.66435,2.04594,-0.33484,-0.25778,0.56879,0.33425
DIABLO,-0.32047,-0.43447,-0.01602,-0.38963,0.36038,-0.36536,-0.27662,-0.21068,-0.22059,-0.06904
MPZL2,0.26743,-0.77572,-0.17177,-0.19284,-0.01447,0.01165,0.16809,-0.08931,-0.03408,0.12299
NOL8,6.40185,0.55828,-0.15825,-0.00159,-1.05868,-0.11028,0.41945,0.66203,0.45046,0.39461
SAMD3,-1.86487,-0.30113,-0.23955,-0.07024,0.09075,-0.18328,0.16437,0.04675,0.00631,-0.02011
TP53AIP1,-2.62756,0.67276,0.53465,0.30488,0.3269,-0.10491,0.05368,0.09335,-0.17728,-0.02357
LPO,-1.51365,0.00855,-0.3556,-0.1101,0.01769,-0.14034,0.13921,-0.22628,-0.12266,-0.00296
SEPT9,-1.11182,-0.05138,0.10868,0.36056,0.09492,-0.60053,0.06412,-0.19341,0.10409,0.11054
KIF12,-2.84275,0.24252,-0.16403,0.27941,-0.17342,-0.20037,-0.04359,-0.06301,-0.08969,0.0985
TRIM16,-3.59341,-0.516,-0.34665,0.04385,-0.13534,-0.01635,-0.11034,0.03653,0.28166,-0.05437
UBAP2L,2.29378,-0.04682,-1.04229,-0.07844,-0.48757,1.1979,-0.56267,0.26002,0.25086,-0.28771
RIMS4,-2.96592,-0.26025,-0.35108,-0.21559,-0.16655,-0.11733,0.20185,0.00397,-0.11131,-0.02238
FAM188A,-1.15855,-0.46586,0.61636,-0.10215,0.06714,-0.32467,0.19294,0.37168,0.38744,-0.09633
HERPUD2,-0.81368,0.08709,0.66583,0.34394,0.61364,-0.18792,-0.34349,0.34523,0.38979,-0.06667
PCDHGB1,0.47936,-0.99629,2.38695,-0.23864,-0.59857,0.63899,-0.41926,-0.20539,-0.22609,0.12724
RXFP3,-1.80393,0.1012,-0.63596,0.18624,-0.00202,-0.10209,0.19884,-0.22676,-0.07636,-0.27256
HTT,-0.80275,0.21775,-0.34607,-0.51415,0.00254,-0.13633,-0.13189,0.01519,-0.1212,0.21098
TMC7,-1.7715,-0.13427,0.15727,0.15847,0.01592,0.00097,-0.0095,0.00172,-0.04386,-0.05981
CWC27,-0.74007,-0.59295,0.08199,-0.21718,0.04755,-0.26574,0.40295,0.33752,0.09393,0.1569
PTGES2,-0.78063,-0.20991,-0.18219,-0.12925,0.14433,-0.21303,-0.25197,0.20213,0.00283,-0.16568
SKP1,16.33632,-1.75675,0.81794,0.1702,1.26053,-0.81373,2.07711,0.15363,0.62858,0.11623
ATP6V1G2,-1.7211,0.03181,-0.68727,-0.11611,-0.0154,-0.07532,-0.11517,0.076,0.14129,-0.01559
CCDC24,-3.76965,0.25943,0.55924,0.07405,0.31976,0.08857,0.00112,-0.14396,-0.19743,0.19366
WDR73,3.74238,0.93811,1.09464,0.45842,-0.12707,-1.44792,-0.2294,-0.23122,0.34217,0.77762
RIC3,-0.98411,0.26679,0.91536,0.34238,-0.42172,-0.17742,0.1283,0.09625,0.05239,0.04072
ZNF177,-4.31935,0.07786,0.01853,0.20643,-0.12624,-0.01275,-0.13996,-0.11647,-0.15133,0.06323
ADAMTS9,-1.06135,-0.57072,-0.35719,0.15371,-0.74695,0.36213,0.01953,0.3611,0.28054,-0.0833
LGI3,-0.51701,-0.58235,-0.02252,-0.45966,-0.11885,-0.01049,-0.18915,-0.17852,-0.15044,0.03321
RBFA,-0.52231,1.00809,-0.57444,-0.85353,0.11294,0.37432,0.49438,0.82736,-0.5488,-0.12427
SCGB1D1,-1.87306,0.34956,0.32752,0.16454,-0.0975,-0.20368,-0.07413,-0.19867,-0.15781,0.05069
PRPSAP1,-2.53132,-0.69117,0.25896,0.14905,-0.34087,0.14032,0.18624,0.18293,0.18099,0.05056
IL15,-1.27307,-0.28972,-0.00586,-0.15716,-0.03763,0.00989,-0.10665,0.084,-0.00661,-0.00012
ATP6V0B,8.73316,2.89048,-0.47042,1.8852,-0.02396,0.85543,0.46699,-0.24023,0.31341,0.53418
TRMT61B,-1.68341,0.44651,-0.72645,0.44438,-0.31215,0.14428,-0.24196,0.09364,0.1782,-0.16405
PLAG1,-1.23235,-0.45737,-0.57367,-0.09744,-0.06822,-0.10353,0.20191,-0.07828,-0.14911,0.21328
KCTD8,-1.82216,0.46864,-0.25108,-0.00678,-0.28864,0.2112,0.00689,-0.22391,-0.23584,0.28375
TMEM45A,-2.72315,-0.95944,0.62714,-0.18016,0.00253,0.10889,0.04063,0.01906,0.09135,-0.32058
PER1,-3.1239,-0.97249,0.12894,-0.42677,-0.07932,-0.12512,0.11326,-0.20526,0.01732,-0.01357
MCU,-1.5791,0.21897,-0.26838,0.06321,0.47713,-0.28572,-0.11334,0.10131,0.07033,0.04554
SERGEF,-1.83741,0.00461,-0.39371,-0.03499,-0.10154,-0.20494,-0.05025,0.07096,-0.17542,0.09666
CMTM8,-1.55851,0.70947,-0.65019,0.44535,-0.3708,0.20795,0.18492,-0.34811,-0.0686,-0.01731
MRPL42,1.92556,-0.79686,0.28127,-0.77994,0.88819,0.45568,-0.13601,0.75048,0.00498,-0.33248
SCYL3,1.28924,-0.83686,-0.54505,0.15359,-0.42867,0.25361,0.1897,0.3515,0.46449,-0.10026
CASQ2,-4.35636,0.81919,0.3155,0.32171,-0.10678,0.01873,0.1994,0.13229,0.13018,0.02075
CLIC4,-2.64729,-0.32165,0.28068,0.01038,0.08062,-0.3806,-0.251,0.08245,0.0381,0.28494
ITPRIP,-2.10742,0.47185,-0.19326,0.08844,-0.4183,0.06358,0.12286,0.14153,-0.18523,0.06289
KIAA1522,-1.45,-0.30255,-0.04826,-0.64256,-0.61529,-0.49834,0.29583,-0.23785,0.12417,-0.19052
PRAMEF2,-1.49336,0.0343,1.28825,0.38708,-0.55556,0.20315,0.3175,0.275,0.48545,-0.2174
ACOXL,-0.99334,-0.12799,0.34729,0.14261,-0.40958,-0.01876,-0.33049,0.10034,-0.3372,0.5006
PRAP1,-3.32458,0.64271,-0.07081,0.01425,-0.17715,-0.23989,0.04036,0.12756,0.12315,0.19376
ADORA1,-0.03573,-0.43528,0.98901,-0.40902,-0.54185,0.15713,-0.26485,-0.25811,-0.08192,-0.07201
NHLRC2,7.5508,3.26611,1.4887,-1.06067,-1.46185,-0.47835,0.25947,-0.42929,1.34335,-0.32882
HOXB8,-1.18116,0.05548,-0.62586,-0.03116,-0.18102,0.01834,0.18552,-0.07378,-0.27277,-0.0231
CBLN2,0.60584,-0.20756,-0.47245,0.17075,-0.60317,-0.12778,0.29581,0.1258,-0.24215,-0.29252
ZCCHC14,-3.79179,-0.52119,0.19436,0.16053,-0.22137,0.13565,0.32367,0.05524,0.04626,0.10246
ISCU,26.67215,-1.22435,1.14625,1.27023,-0.89141,0.225,1.9678,-1.0349,-0.91659,-1.39956
FAM193B,-0.80348,0.53181,-0.52892,0.44859,0.07913,0.06355,-0.26854,-0.09673,0.01952,0.07286
TAS2R60,-3.45424,0.67328,0.74733,0.55722,0.33672,0.04057,0.27859,0.116,0.11477,0.23782
FRMD5,-1.7606,-0.60199,0.20868,-0.11276,-0.21616,0.00168,0.06229,0.07575,-0.01679,-0.2677
TMEM248,-0.74955,-0.77225,0.52201,-0.43914,-0.33822,-0.12544,-0.30591,0.06889,-0.23925,-0.08841
MS4A7,-0.52524,-0.87479,0.20673,-0.65722,-1.54561,0.50847,0.19808,-0.15077,-0.1666,0.03657
UBAP1,9.20364,-0.20782,-0.54508,2.54746,0.89646,0.66014,1.14031,0.28932,0.39111,-0.41327
SERPINA1,-2.15404,-0.07819,0.30064,0.11358,0.29774,-0.04994,-0.00905,-0.17359,-0.03328,-0.24055
FKTN,-1.87964,-0.30839,0.504,0.42802,0.50603,-0.41244,0.06048,0.24699,0.13203,-0.12549
LIMD1,-2.45838,0.63472,-0.11323,0.47561,0.08456,-0.04146,0.00189,-0.51228,-0.00434,0.02255
TTLL4,-0.49347,-0.71267,-0.35991,0.00459,-0.30971,-0.02349,0.07135,0.19966,-0.05265,0.23354
DEFB4B,-1.53171,-0.28343,-0.60051,-0.35729,0.33815,-0.04793,-0.29697,-0.03969,-0.015,0.01592
NMS,-0.32775,-0.69658,-0.30932,0.26005,-0.19051,0.01272,-0.20304,-0.11112,0.01448,-0.1697
COPS4,11.58448,0.7723,1.00733,0.58453,-0.6031,-1.05223,0.37988,-0.39056,0.06538,-0.14794
NUDT19,-3.99401,0.08464,-0.32625,0.04843,-0.05355,-0.14467,0.20265,0.11386,0.09359,-0.0856
CDIP1,-0.33797,-1.11194,0.16155,-0.54131,-0.10655,-0.27413,0.16282,-0.13141,-0.08673,-0.05264
SERPINB10,-0.94513,0.14873,-0.09768,0.00121,-0.18911,-0.04394,0.18212,0.09446,-0.13183,0.00189
VGLL2,0.77334,-0.62298,0.66068,-0.30933,-0.4849,0.2955,-0.433,-0.29277,-0.30927,0.27438
PPM1A,-2.59058,-0.67566,-0.0083,0.19366,0.26242,-0.15818,0.05521,0.05635,0.02277,-0.09194
FETUB,-1.10002,0.79554,0.37395,0.1536,-0.14512,0.1723,-0.07633,-0.23273,-0.16936,-0.0877
CLRN2,-2.03315,0.27596,0.00883,-0.14359,0.26145,-0.29092,-0.28297,-0.16569,-0.13966,-0.13058
NUP205,11.51565,1.33101,-0.0467,2.66628,-0.01652,-0.58076,-0.11574,0.31218,-0.23118,-0.1167
SAG,-2.97528,0.03938,0.10315,0.12388,0.02368,0.02163,-0.03812,-0.22635,-0.10039,0.21536
TMPRSS9,-3.01742,0.13856,-0.40531,0.33283,0.13451,-0.35119,0.03074,-0.16382,0.18454,-0.0318
CYTH4,-1.86726,0.02601,-0.07283,0.03666,0.18575,-0.22801,-0.13784,-0.05663,-0.10003,-0.08103
BCL6B,-3.05006,0.10885,0.03725,-0.15729,0.18935,-0.16217,0.16702,0.02704,0.00983,-0.05614
FCER1G,-1.7554,-0.12531,0.1867,-0.15644,0.08863,-0.11483,0.08904,0.01792,0.02595,0.03948
FAM46C,-2.62986,-1.12664,-0.57356,-0.1524,-0.75713,0.11046,-0.10584,0.09541,0.16935,-0.05939
PPM1D,0.11339,0.40087,-0.22229,-1.94466,-0.15236,1.57565,-3.27148,-0.13678,1.29552,-0.50955
SEZ6L2,-2.98034,-0.1253,-0.11164,-0.10959,0.49671,-0.14583,-0.01429,-0.29992,-0.16008,-0.10901
BAP1,4.69271,1.25501,-0.68104,0.07049,0.61128,0.12987,-0.28058,0.15857,0.47294,0.2452
ALAD,-0.04499,0.39473,-0.66919,-0.3241,0.64546,0.7374,-0.04579,-0.26493,-0.59851,0.17813
FAM217A,-3.97033,-0.27738,1.26747,0.27597,0.38762,-0.14002,-0.21516,0.13146,0.30598,0.08635
MOBP,-1.50667,0.10013,-0.12667,0.30561,0.33622,-0.27592,0.08897,0.16564,0.06168,-0.08482
RBMXL2,-1.03955,-0.26248,-0.65246,0.00896,-0.49371,-0.19472,0.2252,0.13397,-0.17039,0.13591
KPNA7,-2.50233,0.49165,0.23236,0.30689,0.32575,0.01738,-0.51701,0.01558,-0.05368,0.01372
CACNA1G,-0.70572,0.27199,-0.5386,0.23981,-0.18161,0.22038,0.14592,-0.55391,-0.07571,0.20417
COPRS,0.11748,-0.27014,0.5158,0.05552,-0.38525,-0.138,-0.22495,0.04836,-0.23571,0.4046
SMPD2,-3.11204,0.42063,0.2881,-0.05603,-0.16028,0.14053,-0.1952,-0.23448,-0.0741,-0.0024
CTDP1,26.85605,-2.80188,-1.26637,1.38042,0.21745,0.03221,1.10354,0.29295,-0.03994,-0.10547
CDR2,-2.56137,0.19984,0.37004,0.07653,0.33027,-0.34794,-0.24796,-0.24001,-0.22107,-0.05993
ULK1,-4.97366,0.00705,-0.0182,-0.20015,-0.26013,0.6279,-0.07083,-0.25375,0.05583,-0.06118
DNAJC24,-0.33369,0.25826,0.17966,-0.54982,-0.28266,-0.01279,0.16745,0.03908,0.30368,-0.09798
ZFP36L1,0.58367,0.11571,0.18489,1.11412,-0.72516,-1.49796,-0.96586,-0.24082,0.34947,1.36705
CDC42EP2,-1.82736,0.03374,0.12473,0.03958,-0.1821,-0.21288,-0.18227,-0.03939,-0.1236,-0.10965
TMEM106B,-1.6116,0.17379,0.32417,0.58838,0.78862,-0.42062,0.24447,0.15558,0.1765,-0.16487
THAP1,12.61637,4.11214,0.16745,0.8039,-0.26661,-0.89612,-1.08612,1.74015,-1.18853,-0.50393
BTBD2,-2.09991,-0.59208,-0.64623,0.15345,0.01397,0.29793,-0.04906,-0.14855,0.31459,0.13964
M6PR,-0.68628,0.46789,0.54315,0.14754,0.61001,0.03903,0.04037,-0.24822,0.05594,-0.15703
TM2D1,1.17671,0.10389,0.06142,0.71472,-0.50581,0.16223,0.51349,0.001,-0.02295,0.31379
CDKN1B,-1.75668,0.31585,0.678,-0.14288,-0.36199,-0.35208,0.13392,0.09504,-0.60523,0.37961
ARMC10,2.80036,-1.29287,-1.33192,-0.11129,-0.13003,0.16497,-0.6564,-0.11919,-0.43802,0.12824
ANKFN1,-3.41813,0.096,-0.76841,-0.07404,-0.38113,-0.17037,0.25371,-0.17724,-0.09613,-0.03718
NDUFAB1,5.95277,0.16171,-0.39541,-0.65417,0.48209,-0.3682,0.28939,0.39861,-0.34111,0.01054
ZC3H7A,-2.04794,0.53272,-0.1816,0.11177,-0.08361,-0.14046,-0.07744,-0.22177,0.21301,0.06963
GDPD3,-0.78393,-0.59716,0.12417,-0.40256,-0.46847,0.28976,-0.27007,0.07651,-0.24679,0.04084
MAPK6,0.06478,-0.20175,-0.20779,-0.49971,0.12037,0.32671,-0.04708,-0.20604,0.12223,0.26404
SCNM1,1.22187,-0.05684,-0.18848,0.36864,-0.40495,-0.15869,-0.46266,0.85899,0.26374,-0.01197
ZNF235,-0.82479,-0.20654,0.25428,0.09587,-0.05469,-0.17607,0.00403,0.17793,0.22747,-0.12228
C19orf18,0.53018,-0.2421,-0.47777,0.04854,-0.34775,0.27466,-0.0588,0.10367,0.16276,-0.05907
DECR1,-2.44222,0.26316,-0.45141,0.20747,-0.16957,0.23708,0.21925,0.11633,0.23286,0.0055
CHTOP,1.74045,0.97296,-0.69496,0.51064,0.53863,0.20685,-0.12134,0.04108,-0.02129,-0.21389
ZER1,-2.04587,0.26491,0.73836,-0.03797,-0.25271,0.07225,-0.00951,-0.25895,-0.35396,-0.04114
ZSCAN2,-2.82987,0.79366,-0.07851,0.2736,0.33166,-0.13311,0.01701,-0.14089,-0.13998,0.12435
HDDC3,-1.62582,0.6025,-0.36746,0.31277,0.59991,-0.23802,-0.097,0.01,-0.1824,0.05162
PFAS,2.17567,0.36544,-0.48356,-0.03122,1.57915,1.17173,0.84463,-0.53627,0.53329,1.4121
PSMD6,26.89403,-1.79783,0.07856,2.62822,0.12264,1.2583,-0.9082,1.02432,0.33752,0.675
TFAP2B,-0.59249,-0.03562,-0.62291,-0.08141,0.08892,0.0975,-0.47563,-0.0098,-0.23324,-0.4912
RAB35,-1.95494,-0.56021,0.27296,-0.71133,0.24831,-0.07854,0.33519,-0.0313,-0.26971,0.6064
APBB2,-2.97572,0.36349,-0.55732,-0.05951,0.28146,-0.21534,-0.03743,-0.08756,-0.01833,-0.10583
PLK2,-1.18966,-0.43462,-0.13209,-0.1099,-0.23378,-0.43178,0.14671,0.07137,0.14042,0.30989
NBEAL2,-2.71646,-0.00504,-0.94711,-0.00783,0.245,0.13681,0.13501,-0.02089,0.29999,-0.12792
KIAA1143,3.69491,-0.46551,0.97663,0.04767,0.03834,0.07243,-0.79216,-0.1766,-0.59232,0.02058
HARS,11.07091,-2.02762,0.9519,0.06675,-0.14896,-0.86022,0.62404,-0.64854,0.54079,-0.58521
C2orf70,-1.67946,-0.05755,-0.75606,0.32859,-0.09646,-0.16485,-0.01746,0.21886,-0.10819,-0.07897
VEPH1,-2.4615,-0.06237,0.72267,-0.26344,-0.26266,0.19042,-0.10067,-0.01446,-0.17578,-0.10735
LAMTOR4,2.50917,1.78505,0.28763,-0.11063,-0.28924,-0.45235,0.3713,-0.04691,-0.07063,0.15517
LGALS7B,-0.37369,-0.11388,1.41971,-0.43397,-0.8448,0.27224,0.09674,-0.24668,0.31378,0.08688
SCN4B,-2.02795,0.16037,-0.46484,0.30534,0.35969,-0.18956,0.10033,0.03379,0.05208,0.10448
UBE2W,0.24363,-0.48864,0.09051,-0.00882,0.9602,-0.7163,-0.10284,-0.02784,0.04688,-0.11507
CYLC2,-3.02024,-0.39302,0.02553,-0.18925,-0.44979,0.08783,-0.02324,-0.15952,0.09195,-0.04994
EBF4,-2.52603,-0.45185,-0.30747,-0.15126,0.29225,-0.13935,0.05978,0.1896,0.05216,0.11552
AADAT,1.6267,-0.84494,-0.36352,-0.03309,-0.47009,0.30933,0.10083,0.08277,0.36669,0.07282
ZNF383,-0.96116,0.74253,1.24725,0.32956,0.50085,-0.08802,-0.39056,-0.02868,0.11214,-0.31417
ARHGEF38,1.85002,-1.02723,-0.49585,-0.41278,0.16531,-0.00941,-0.07595,-0.52266,-0.5049,-0.01855
SOX30,3.90134,-1.55099,-1.62533,-0.19938,-3.06343,2.85375,-0.64035,0.10101,0.43338,0.89981
DOK5,-4.3933,-0.1997,0.19976,0.17206,0.54411,-0.01136,0.30215,0.2512,0.34238,-0.25191
EGLN3,-2.98044,-0.48998,-0.59499,-0.29011,-0.09645,0.02901,0.11009,0.06087,0.25359,-0.09978
MIEF2,-2.04947,0.3802,0.05681,0.1671,-0.08806,0.25958,-0.2408,-0.01305,-0.18617,0.12358
ICAM5,-1.1322,-0.22364,-0.88955,0.24078,-0.73339,0.42469,-0.08836,-0.0861,0.26196,0.18719
LAX1,-0.68393,-0.13435,0.11581,-0.17984,-0.04285,-0.01169,-0.34484,-0.18499,-0.56139,0.0452
BAK1,5.10924,-0.41723,-0.99133,-0.0227,0.18924,0.28493,-1.71429,-1.23676,-0.92984,-0.24575
C4orf29,-2.09511,0.05144,-0.28444,0.21571,0.53182,-0.01878,0.03835,-0.06505,0.1966,0.01457
APAF1,-4.40416,0.25379,0.6972,-0.07184,0.44935,-0.06533,-0.28796,-0.00995,-0.08067,0.35277
SNAPC4,14.04219,-0.87201,0.10248,1.24996,0.37602,-0.57954,1.71225,0.28393,0.85965,-0.14008
UNC119,0.09481,-0.20442,0.04472,0.04975,-0.01948,-0.13125,-0.08218,0.26378,-0.04269,0.17997
NKX2-8,-3.51923,0.30204,-0.11388,0.27618,0.33258,0.00759,-0.16771,0.14358,-0.13867,0.01309
SLC6A20,-1.71188,0.012,-1.03324,0.17318,0.12775,0.10149,0.26119,0.01465,-0.02001,-0.0307
TWF1,2.92484,0.57023,1.04653,0.61417,0.36327,-0.45159,-0.33441,-0.4878,-0.30939,-0.41131
PRKCG,-1.44158,-0.7036,-0.99379,-0.15215,-0.5247,0.0055,0.1959,0.07631,-0.05831,0.27966
PHF3,-1.81157,0.12209,0.34648,0.21285,0.07726,-0.22711,0.38476,0.26839,0.12047,0.03076
CLEC1B,-1.8278,-0.32944,0.00508,-0.09174,0.22873,-0.05427,0.07477,0.10142,0.12569,-0.05
FOXL1,-1.52476,-0.75593,-0.73175,0.367,-0.35964,0.39761,0.32689,0.06421,0.2968,-0.1439
ANKRD33B,0.78554,-0.16882,-1.31477,0.17701,0.17478,-0.17971,-0.26159,-0.53211,-0.76133,0.2708
TMEM258,6.95843,1.11947,-0.37744,0.49608,0.53931,-0.98786,-0.25424,0.22364,0.3641,-0.38835
TGM1,-4.23961,-0.69138,0.08313,0.75766,-0.25939,0.74601,-0.20639,-0.25552,-0.2221,0.45279
DUS2,-2.43483,0.48771,-0.1795,-0.0201,0.65251,-0.33568,0.12098,-0.00369,-0.07683,-0.00177
BAIAP3,-2.15013,0.5136,0.12327,0.0618,0.40646,-0.18803,-0.10877,-0.32949,-0.25489,-0.08612
DSG3,-1.56767,-0.16272,-0.21387,-0.00063,-0.05349,-0.17574,-0.16308,0.05885,-0.23639,0.06837
GAS1,-0.72165,0.288,-0.35735,0.18278,-0.13918,-0.17625,-0.35052,0.0065,0.03208,-0.05897
FAM133B,3.4379,-3.04201,2.15341,-0.621,-0.83929,0.24467,-0.41641,-0.16208,-1.1613,-0.48782
PLA2G4D,-1.33252,0.34933,-0.12799,0.49647,0.12856,-0.13701,0.04858,0.18752,-0.21114,0.12273
PANK2,-1.35066,-0.71126,1.13641,-0.02437,-0.30869,-0.03019,0.14248,-0.0625,0.12991,-0.22347
ZNF395,-0.36406,-0.64251,-0.46878,-0.28306,-0.02188,0.03988,-0.19657,-0.25408,-0.29687,-0.35993
DHRS4,-2.99749,0.88586,-0.43311,-0.01303,0.12087,0.09562,0.11927,-0.23357,-0.08088,0.03846
DDB2,-1.75137,-0.00764,-0.56039,0.08139,0.27789,0.00707,-0.05398,0.03287,0.1654,-0.06184
ZFP69B,-1.70065,1.93587,0.80954,0.61059,0.40858,-0.23906,-0.24065,-0.33441,-0.43751,0.07753
SLC9A1,-2.38464,-0.18929,-1.23118,-0.03013,-0.1913,-0.14236,0.35631,0.00753,-0.15231,0.17504
TPI1,6.38328,2.77522,-0.40562,-1.6204,0.17129,0.2927,-0.83261,-0.43192,0.40065,0.27167
TCF21,-1.35004,0.56028,-0.34783,0.29328,-0.25412,-0.04063,0.06032,0.12517,-0.08271,0.11715
RNF122,-3.13071,-0.18597,0.52127,-0.07671,-0.45816,-0.10405,0.34352,-0.04505,-0.26491,0.08901
ITGB4,-1.2744,-0.58303,-0.51204,0.01513,0.00554,0.42079,-0.05714,-0.2882,-0.16572,-0.05689
CCDC42,-3.47148,-0.72159,-0.29012,-0.11184,0.38324,-0.22992,-0.02271,0.04746,0.06192,-0.11928
NSUN3,-0.52967,0.01624,-0.19056,-0.12398,-0.07624,0.17371,-0.17598,0.30062,0.01995,-0.37055
NCAPD2,10.00759,-1.85198,0.48144,1.36263,0.55463,-0.4634,-1.17122,-0.00825,0.35471,-0.30192
DOCK8,-1.44014,0.5783,-1.19871,-0.18645,-0.06516,0.2978,0.02185,-0.11794,0.16091,0.00628
RFPL4AL1,-0.14031,-0.4706,-0.74132,-0.36067,-0.44764,-0.43934,0.27166,0.11214,0.16233,-0.2239
CREB5,-4.18038,-0.45857,-0.57633,-0.18265,0.41551,-0.28652,0.01188,0.08394,-0.10021,-0.10558
ADAMTS1,-1.75716,0.63077,-0.58408,0.37194,-0.52283,-0.1024,-0.11797,0.42307,0.1557,-0.1024
PPY,-1.05794,1.88054,0.21233,0.65084,0.29418,0.01451,-0.00584,-0.40484,-0.32959,-0.42298
PDGFA,-1.87476,-0.40164,-0.29185,0.17464,-0.19508,-0.09066,-0.07466,0.15125,-0.02678,0.06359
HELB,-2.38502,0.47237,-0.69307,0.11568,-0.23125,0.06111,0.02794,-0.21089,-0.11939,0.01627
MUC17,-1.35828,0.07975,-0.99543,0.23788,-0.381,0.32162,0.31331,-0.34484,-0.01118,-0.28978
DAP3,7.9152,0.11035,0.77977,-1.87957,0.75484,1.45763,0.3738,2.14702,-1.02203,-0.62418
TSEN54,4.94214,3.03946,1.70783,-0.40263,-0.45133,-0.73895,0.41263,-0.84322,0.0801,0.2898
TTC8,-2.39052,-0.71576,0.73999,-0.04736,-0.49741,0.10932,0.14477,-0.04076,-0.00501,-0.0248
DRD1,-4.53584,0.29852,-0.2668,0.37572,0.46438,-0.16545,0.19536,-0.01122,0.11606,-0.00258
ZNF799,-4.02485,-0.79234,0.26091,0.09335,0.0482,-0.53369,0.17352,0.03819,0.3268,-0.08032
GPATCH2,0.80354,-0.03562,-0.24572,0.03988,-0.87768,0.1487,-0.14768,0.07906,0.11973,0.07737
LRRC4B,-1.06116,0.39972,-1.30374,-0.05578,-0.31366,0.13082,0.27471,0.18957,-0.12174,0.15042
